File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2010,4231960,280466,6.32,3951494,51243,1.28,21708,0.54,51287,42.33,1417262,23154,1.52,1394108,8564,0.61,4471,0.32,8628,51.82,59915,26179,43.69
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2010,3721842,172769,4.45,3549073,34521,0.99,13358,0.38,37439,35.68,1352083,16950,1.22,1335133,6720,0.5,2972,0.22,6254,47.52,43693,16330,37.37
SSA-SA-FYWL.csv,2,3/13/2023,BOS,ME ,FY,2010,841903,74943,8.65,766960,13570,1.77,3848,0.5,12800,30.06,273457,3880,1.42,269577,1322,0.49,628,0.23,1284,48.91,14084,4476,31.78
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MI ,FY,2010,6176933,461127,6.89,5715806,98215,1.68,32802,0.56,96783,33.89,2333718,41477,1.74,2292241,17496,0.76,6295,0.27,17146,36.71,113929,39097,34.32
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MN ,FY,2010,3341567,160053,4.57,3181514,36385,1.14,12330,0.39,35622,34.61,1282527,12974,1,1269553,5212,0.42,2553,0.2,5211,48.99,40833,14883,36.45
SSA-SA-FYWL.csv,2,3/13/2023,KCM,MO ,FY,2010,3731389,274905,6.96,3456484,66216,1.91,20649,0.59,65202,31.67,1423109,22762,1.52,1400347,9535,0.68,3794,0.27,9649,39.32,74851,24443,32.66
SSA-SA-FYWL.csv,2,3/13/2023,ATL,MS ,FY,2010,1834218,186829,10.02,1647389,41881,2.58,9440,0.58,39223,24.07,754068,24008,3.11,730060,11627,1.56,3128,0.42,11258,27.78,50481,12568,24.9
SSA-SA-FYWL.csv,2,3/13/2023,DEN,MT ,FY,2010,620354,35265,5.5,585089,7731,1.33,2697,0.47,7308,36.9,222979,2524,1.1,220455,884,0.41,505,0.23,899,56.17,8207,3202,39.02
SSA-SA-FYWL.csv,2,3/13/2023,ATL,NC ,FY,2010,6038241,413825,6.68,5624416,94394,1.71,23839,0.43,87918,27.12,2279498,41821,1.81,2237677,17169,0.77,5523,0.25,16634,33.2,104552,29362,28.08
SSA-SA-FYWL.csv,2,3/13/2023,DEN,ND ,FY,2010,427192,18403,4.3,408789,3578,0.92,1480,0.38,3541,41.8,149771,1090,0.75,148681,458,0.32,252,0.18,465,54.19,4006,1732,43.24
