FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2019,ILLINOIS,98.20%,1.08,
2019,INDIANA,95.90%,1.68,
2019,IOWA,97.60%,1.22,
2019,KANSAS,97.40%,1.21,
2019,KENTUCKY,96.30%,1.6,
2019,LOUISIANA,97.50%,1.26,
2019,MAINE,97.10%,1.28,
2019,MARYLAND,99.00%,0.82,
2019,MASSACHUSETTS,96.50%,1.47,
2019,MICHIGAN,96.50%,1.49,
2019,MINNESOTA,97.70%,1.19,
2019,MISSISSIPPI,95.60%,1.8,
2019,MISSOURI,98.40%,1.01,
2019,MONTANA,97.60%,1.15,
2019,NEBRASKA,97.60%,1.18,
2019,NEVADA,98.80%,0.88,
2019,NEW HAMPSHIRE,97.90%,1.08,
2019,NEW JERSEY,96.70%,1.45,
2019,NEW MEXICO,98.80%,0.88,
2019,NEW YORK,97.60%,1.24,
2019,NORTH CAROLINA,97.60%,1.29,
2019,NORTH DAKOTA,97.10%,1.16,
2019,OHIO,97.60%,1.26,
2019,OKLAHOMA,95.60%,1.76,
2019,OREGON,97.40%,1.27,
2019,PENNSYLVANIA,98.10%,1.11,
2019,PUERTO RICO,96.70%,1.38,
2019,RHODE ISLAND,96.90%,1.32,
2019,SOUTH CAROLINA,98.10%,1.13,
2019,SOUTH DAKOTA,98.10%,1,
2019,TENNESSEE,97.30%,1.35,
2019,TEXAS,96.80%,1.46,
2019,UTAH,97.80%,1.15,
2019,VERMONT,98.70%,0.84,
2019,VIRGINIA,98.00%,1.12,
2019,WASHINGTON,96.50%,1.5,
2019,WEST VIRGINIA,96.00%,1.64,
2019,WISCONSIN,97.80%,1.18,
2019,WYOMING,98.40%,0.85,
2019,NATIONAL,97.30%,0.27,
2020,ALABAMA,97.70%,1.45,
2020,ALASKA,99.10%,,
2020,ARIZONA,96.80%,1.7,
2020,ARKANSAS,97.60%,1.46,
2020,CALIFORNIA,94.40%,2.14,
2020,COLORADO,99.80%,,
2020,CONNECTICUT,97.00%,1.61,
2020,DELAWARE,97.20%,1.48,
2020,DIST OF COLUMBIA,97.40%,1.47,
2020,FLORIDA,97.00%,1.63,
2020,GEORGIA,97.30%,1.53,
2020,HAWAII,96.60%,1.64,
2020,IDAHO,98.20%,1.18,
2020,ILLINOIS,97.50%,1.45,
2020,INDIANA,96.10%,1.88,
2020,IOWA,98.10%,1.24,
2020,KANSAS,99.10%,0.85,
2020,KENTUCKY,95.60%,1.91,
2020,LOUISIANA,97.90%,1.33,
2020,MAINE,96.60%,1.64,
2020,MARYLAND,98.00%,1.33,
2020,MASSACHUSETTS,95.90%,1.84,
2020,MICHIGAN,94.80%,2.06,
2020,MINNESOTA,98.30%,1.17,
2020,MISSISSIPPI,97.20%,1.63,
2020,MISSOURI,96.00%,1.82,
2020,MONTANA,97.70%,1.28,
2020,NEBRASKA,96.10%,1.7,
2020,NEVADA,96.70%,1.69,
2020,NEW HAMPSHIRE,96.70%,1.57,
2020,NEW JERSEY,97.00%,1.59,
2020,NEW MEXICO,96.90%,1.65,
2020,NEW YORK,97.90%,1.31,
2020,NORTH CAROLINA,96.10%,1.82,
2020,NORTH DAKOTA,96.40%,1.52,
2020,OHIO,96.90%,1.63,
2020,OKLAHOMA,94.90%,2.11,
2020,OREGON,98.20%,1.2,
2020,PENNSYLVANIA,97.80%,1.38,
2020,PUERTO RICO,94.60%,2.02,
2020,RHODE ISLAND,97.20%,1.45,
2020,SOUTH CAROLINA,96.70%,1.65,
2020,SOUTH DAKOTA,97.50%,1.32,
2020,TENNESSEE,98.10%,1.29,
2020,TEXAS,93.30%,2.39,
2020,UTAH,96.70%,1.57,
2020,VERMONT,99.20%,0.74,
2020,VIRGINIA,95.70%,1.87,
2020,WASHINGTON,97.30%,1.48,
2020,WEST VIRGINIA,96.20%,1.81,
2020,WISCONSIN,97.70%,1.39,
2020,WYOMING,98.00%,1.16,
2020,NATIONAL,96.40%,0.36,
2021,ALABAMA,98.40%,1.04,
2021,ALASKA,98.40%,0.91,
2021,ARIZONA,94.60%,1.91,
2021,ARKANSAS,96.70%,1.45,
2021,CALIFORNIA,97.20%,1.37,
2021,COLORADO,98.60%,0.93,
2021,CONNECTICUT,97.10%,1.37,
2021,DELAWARE,97.60%,1.21,
2021,DIST OF COLUMBIA,97.70%,1.25,
2021,FLORIDA,96.90%,1.43,
2021,GEORGIA,96.90%,1.41,
2021,HAWAII,96.90%,1.45,
2021,IDAHO,98.20%,1.04,
2021,ILLINOIS,98.00%,1.16,
2021,INDIANA,95.20%,1.8,
2021,IOWA,99.00%,0.79,
2021,KANSAS,98.20%,1.06,
2021,KENTUCKY,95.10%,1.82,
2021,LOUISIANA,96.40%,1.51,
2021,MAINE,97.10%,1.32,
2021,MARYLAND,98.00%,1.13,
2021,MASSACHUSETTS,95.90%,1.58,
2021,MICHIGAN,96.90%,1.39,
2021,MINNESOTA,98.20%,1.06,
2021,MISSISSIPPI,95.40%,1.75,
2021,MISSOURI,96.30%,1.54,
2021,MONTANA,96.90%,1.3,
2021,NEBRASKA,96.80%,1.36,
2021,NEVADA,98.50%,1.02,
2021,NEW HAMPSHIRE,97.40%,1.21,
2021,NEW JERSEY,96.20%,1.57,
2021,NEW MEXICO,97.20%,1.31,
2021,NEW YORK,97.10%,1.36,
2021,NORTH CAROLINA,96.20%,1.59,
2021,NORTH DAKOTA,97.10%,1.18,
2021,OHIO,97.30%,1.33,
2021,OKLAHOMA,96.80%,1.53,
2021,OREGON,96.40%,1.47,
2021,PENNSYLVANIA,96.70%,1.47,
2021,PUERTO RICO,95.10%,1.62,
2021,RHODE ISLAND,98.10%,1.02,
2021,SOUTH CAROLINA,96.70%,1.43,
2021,SOUTH DAKOTA,96.10%,1.42,
2021,TENNESSEE,96.30%,1.57,
2021,TEXAS,95.10%,1.8,
2021,UTAH,97.90%,1.13,
2021,VERMONT,97.50%,1.59,
2021,VIRGINIA,97.50%,1.25,
2021,WASHINGTON,98.30%,1.06,
2021,WEST VIRGINIA,95.80%,1.66,
2021,WISCONSIN,96.40%,1.47,
2021,WYOMING,97.50%,1.16,
2021,NATIONAL,96.70%,0.28,
2022,ALABAMA,97.10%,1.37,
2022,ALASKA,98.30%,0.93,
2022,ARIZONA,98.00%,1.17,
2022,ARKANSAS,98.50%,1.01,
2022,CALIFORNIA,97.60%,1.27,
2022,COLORADO,97.90%,1.17,
2022,CONNECTICUT,98.30%,1.02,
2022,DELAWARE,97.00%,1.3,
2022,DIST OF COLUMBIA,96.80%,1.46,
2022,FLORIDA,97.60%,1.27,
2022,GEORGIA,95.50%,1.74,
2022,HAWAII,98.60%,0.89,
2022,IDAHO,98.20%,1.02,
2022,ILLINOIS,97.60%,1.26,
2022,INDIANA,95.60%,1.7,
2022,IOWA,97.90%,1.14,
2022,KANSAS,98.20%,1,
2022,KENTUCKY,97.50%,1.31,
2022,LOUISIANA,97.60%,1.35,
2022,MAINE,98.10%,1.05,
2022,MARYLAND,98.70%,0.89,
2022,MASSACHUSETTS,96.20%,1.5,
2022,MICHIGAN,96.90%,1.4,
2022,MINNESOTA,97.70%,1.19,
2022,MISSISSIPPI,94.50%,1.95,
2022,MISSOURI,97.00%,1.37,
2022,MONTANA,97.20%,1.31,
2022,NEBRASKA,98.20%,1.02,
2022,NEVADA,97.20%,1.32,
2022,NEW HAMPSHIRE,96.90%,1.31,
2022,NEW JERSEY,96.80%,1.39,
2022,NEW MEXICO,97.90%,1.17,
2022,NEW YORK,97.70%,1.21,
2022,NORTH CAROLINA,96.50%,1.54,
2022,NORTH DAKOTA,97.60%,1.1,
2022,OHIO,96.00%,1.61,
2022,OKLAHOMA,96.10%,1.67,
2022,OREGON,98.50%,1.03,
2022,PENNSYLVANIA,97.20%,1.32,
2022,PUERTO RICO,97.30%,1.22,
2022,RHODE ISLAND,97.60%,1.15,
2022,SOUTH CAROLINA,97.30%,1.29,
2022,SOUTH DAKOTA,97.30%,1.24,
2022,TENNESSEE,96.90%,1.42,
2022,TEXAS,96.50%,1.55,
2022,UTAH,96.80%,1.37,
2022,VERMONT,98.40%,0.92,
2022,VIRGINIA,98.40%,1.05,
2022,WASHINGTON,98.00%,1.13,
2022,WEST VIRGINIA,96.30%,1.55,
2022,WISCONSIN,97.70%,1.18,
2022,WYOMING,97.80%,1.2,
2022,NATIONAL,97.10%,0.26,
