FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2009,TENNESSEE,96.40%,1.63,
2009,TEXAS,97.20%,1.32,
2009,UTAH,95.80%,1.58,
2009,VERMONT,97.30%,1.22,
2009,VIRGINIA,96.60%,1.48,
2009,WASHINGTON,96.10%,1.58,
2009,WEST VIRGINIA,97.20%,1.43,
2009,WISCONSIN,98.20%,1.08,
2009,WYOMING,96.30%,1.36,
2009,NATIONAL,96.80%,0.29,
2010,ALABAMA,99.50%,UL* 99.8 - LL** 98.1,SV manually computed
2010,ALASKA,98.20%,0.99,
2010,ARIZONA,97.30%,1.4,
2010,ARKANSAS,99.30%,UL* 99.8 - LL** 98.2,SV manually computed
2010,CALIFORNIA,96.90%,1.46,
2010,COLORADO,97.10%,1.4,
2010,CONNECTICUT,95.40%,1.77,
2010,DELAWARE,99.20%,0.71,
2010,DIST OF COLUMBIA,96.60%,1.41,
2010,FLORIDA,98.60%,1.01,
2010,GEORGIA,96.70%,1.57,
2010,HAWAII,98.70%,0.88,
2010,IDAHO,98.90%,0.88,
2010,ILLINOIS,98.60%,0.99,
2010,INDIANA,98.90%,0.89,
2010,IOWA,98.40%,1.07,
2010,KANSAS,98.20%,1.1,
2010,KENTUCKY,99.60%,UL* 99.9 - LL** 98.7,SV manually computed
2010,LOUISIANA,98.30%,1.08,
2010,MAINE,94.00%,2.03,
2010,MARYLAND,98.30%,1.08,
2010,MASSACHUSETTS,97.10%,1.39,
2010,MICHIGAN,98.30%,1.1,
2010,MINNESOTA,98.20%,1.1,
2010,MISSISSIPPI,98.30%,1.14,
2010,MISSOURI,99.00%,0.85,
2010,MONTANA,98.70%,0.9,
2010,NEBRASKA,97.60%,1.23,
2010,NEVADA,97.70%,1.25,
2010,NEW HAMPSHIRE,97.30%,1.29,
2010,NEW JERSEY,98.10%,1.12,
2010,NEW MEXICO,98.90%,0.87,
2010,NEW YORK,97.50%,1.3,
2010,NORTH CAROLINA,98.60%,1.05,
2010,NORTH DAKOTA,95.50%,1.62,
2010,OHIO,98.10%,1.18,
2010,OKLAHOMA,99.10%,0.79,
2010,OREGON,98.80%,0.9,
2010,PENNSYLVANIA,98.40%,1.07,
2010,PUERTO RICO,96.60%,1.47,
2010,RHODE ISLAND,97.30%,1.36,
2010,SOUTH CAROLINA,98.00%,1.23,
2010,SOUTH DAKOTA,98.50%,0.95,
2010,TENNESSEE,97.70%,1.34,
2010,TEXAS,98.70%,0.93,
2010,UTAH,97.10%,1.36,
2010,VERMONT,98.00%,1.07,
2010,VIRGINIA,97.20%,1.34,
2010,WASHINGTON,96.60%,1.49,
2010,WEST VIRGINIA,97.60%,1.36,
2010,WISCONSIN,98.30%,1.06,
2010,WYOMING,98.10%,1.04,
2010,NATIONAL,98.10%,0.22,
2011,ALABAMA,98.10%,1.18,
2011,ALASKA,97.10%,1.29,
2011,ARIZONA,95.30%,1.86,
2011,ARKANSAS,98.50%,1.03,
2011,CALIFORNIA,97.20%,1.42,
2011,COLORADO,97.80%,1.23,
2011,CONNECTICUT,95.70%,1.76,
2011,DELAWARE,97.70%,1.25,
2011,DIST OF COLUMBIA,96.80%,1.42,
2011,FLORIDA,97.90%,1.27,
2011,GEORGIA,97.00%,1.51,
2011,HAWAII,97.30%,1.29,
2011,IDAHO,97.80%,1.24,
2011,ILLINOIS,98.00%,1.23,
2011,INDIANA,98.50%,1.06,
2011,IOWA,97.60%,1.3,
2011,KANSAS,98.40%,1.04,
2011,KENTUCKY,97.90%,1.27,
2011,LOUISIANA,97.40%,1.34,
2011,MAINE,95.40%,1.77,
2011,MARYLAND,96.90%,1.48,
2011,MASSACHUSETTS,98.20%,1.11,
2011,MICHIGAN,98.20%,1.14,
2011,MINNESOTA,95.20%,1.82,
2011,MISSISSIPPI,98.80%,0.99,
2011,MISSOURI,98.30%,1.12,
2011,MONTANA,97.30%,1.32,
2011,NEBRASKA,98.60%,0.98,
2011,NEVADA,96.90%,1.45,
2011,NEW HAMPSHIRE,98.30%,1.03,
2011,NEW JERSEY,97.40%,1.31,
2011,NEW MEXICO,97.20%,1.4,
2011,NEW YORK,96.30%,1.58,
2011,NORTH CAROLINA,97.60%,1.38,
2011,NORTH DAKOTA,97.30%,1.23,
2011,OHIO,97.50%,1.37,
2011,OKLAHOMA,97.60%,1.33,
2011,OREGON,98.00%,1.19,
2011,PENNSYLVANIA,97.40%,1.37,
2011,PUERTO RICO,97.00%,1.43,
2011,RHODE ISLAND,96.80%,1.45,
2011,SOUTH CAROLINA,97.80%,1.29,
2011,SOUTH DAKOTA,97.70%,1.18,
2011,TENNESSEE,97.10%,1.52,
2011,TEXAS,98.50%,1,
2011,UTAH,96.30%,1.52,
