FISCAL YEAR,PROGRAM INVOLVEMENT,TOTAL CDRS PROCESSED,MAILERS ONLY,INITIAL FIELD OFFICE FTC TERMINATIONS *,FULL MEDICAL REVIEWS (FMRS),INITIAL CESSATIONS (FMRS)
2022,Auxiliaries and survivors,"49,565","37,885",257,"11,423","1,646"
2022,Total Title XVI Only,"658,400","294,639","3,859","359,902","92,958"
2022,Disabled adults,"426,813","294,639",898,"131,276","21,300"
2022,Disabled children,"231,587",0,"2,961","228,626","71,658"
2022,Low birth weight,"11,823",0,358,"11,465","5,825"
2022,Age 18 redeterminations,"70,167",0,"1,033","69,134","35,464"
2022,Other SSI children,"149,597",0,"1,570","148,027","30,369"
2022,Total Title II and Title XVI (initiated centrally),"1,481,780","915,989","6,700","559,091","123,498"
2022,II. Other Periodic CDRs** (not initiated centrally),"12,104",0,270,"11,834","1,692"
2022,III. Administrative Closures***,"12,311",0,0,"12,311",0
2022,TOTAL,"1,506,195","915,989","6,970","583,236","125,190"
