GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01000","Alabama",5,SARPP,1,"...","RPPs: All items ","Index",88.901,87.786,89.783,90.011,90.559,90.324,90.175,89.741,90.609,90.065,87.378,88.303,87.569,88.062,88.021,89.097,88.823
 "02000","Alaska",8,SARPP,1,"...","RPPs: All items ","Index",103.878,106.147,103.099,103.274,102.548,102.052,102.386,103.287,104.073,104.833,104.565,103.041,101.339,104.907,102.101,103.297,102.359
 "04000","Arizona",6,SARPP,1,"...","RPPs: All items ","Index",102.504,102.865,100.558,99.083,98.050,98.441,97.944,97.865,98.622,97.915,97.381,97.779,99.203,96.600,99.992,100.742,100.677
 "05000","Arkansas",5,SARPP,1,"...","RPPs: All items ","Index",88.096,86.364,88.561,89.383,89.394,89.493,89.395,89.013,89.298,88.561,87.144,87.744,88.165,88.902,86.913,86.810,86.937
 "06000","California",8,SARPP,1,"...","RPPs: All items ","Index",111.220,110.696,109.703,109.503,109.666,109.667,109.926,110.685,109.956,110.998,111.882,111.134,111.944,111.918,112.591,112.195,110.720
 "08000","Colorado",7,SARPP,1,"...","RPPs: All items ","Index",103.315,102.378,100.590,103.384,103.138,103.099,103.068,103.048,102.716,102.946,100.290,102.491,103.774,102.765,102.260,101.856,103.052
 "09000","Connecticut",1,SARPP,1,"...","RPPs: All items ","Index",110.451,110.720,106.999,107.834,107.595,107.731,107.015,107.536,107.477,107.228,104.015,103.915,105.119,102.886,106.362,104.201,103.610
 "10000","Delaware",2,SARPP,1,"...","RPPs: All items ","Index",100.753,102.077,101.545,100.441,99.566,98.624,99.708,97.913,98.478,98.499,99.252,98.824,96.791,97.425,98.007,98.759,99.808
 "11000","District of Columbia",2,SARPP,1,"...","RPPs: All items ","Index",112.368,113.017,114.226,114.058,111.644,113.521,114.242,113.321,112.415,110.146,111.317,109.228,110.881,111.572,112.594,110.713,109.901
